dolar amerykański;USD;3.992;4.0726
dolar australijski;AUD;2.8997;2.9583
dolar kanadyjski;CAD;3.1427;3.2061
euro;EUR;4.5249;4.6163
forint (Węgry);HUF;0.012517;0.012769
frank szwajcarski;CHF;4.3615;4.4497
funt szterling;GBP;5.4074;5.5166
jen (Japonia);JPY;0.03449;0.035186
korona czeska;CZK;0.1842;0.188
korona duńska;DKK;0.6084;0.6206
korona norweska;NOK;0.4539;0.4631
korona szwedzka;SEK;0.4409;0.4499
SDR (MFW);XDR;5.6027;5.7159
