dolar amerykański;USD;4.0529;4.1347
dolar australijski;AUD;2.8879;2.9463
dolar kanadyjski;CAD;3.1605;3.2243
euro;EUR;4.5799;4.6725
forint (Węgry);HUF;0.012507;0.012759
frank szwajcarski;CHF;4.4002;4.489
funt szterling;GBP;5.3654;5.4738
jen (Japonia);JPY;0.03566;0.03638
korona czeska;CZK;0.181;0.1846
korona duńska;DKK;0.6159;0.6283
korona norweska;NOK;0.4467;0.4557
korona szwedzka;SEK;0.4451;0.4541
SDR (MFW);XDR;5.6728;5.7874
